age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,Im Sommer fahren wir nach Österreich und wandern in den Bergen.,"In summer, we travel to Austria and hike in the mountains.","[""Recognize verbs 'fahren' (travel) and 'wandern' (hike)."", ""Identify 'Bergen' = mountains."", 'Summarize story meaning.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,listening_sentence,Audio: 'أحب الذهاب إلى المكتبة.',I love going to the library.,"[""Recognize 'أحب' = I love."", ""Translate 'المكتبة' = library."", 'Summarize sentence meaning.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_practice,"mare – sea, treno – train, scuola – school",Learn Italian words for travel and school.,"['Translate each word.', 'Categorize (travel/school).', 'Repeat aloud three times.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_reordering,parque / El / está / niño / en / el.,El niño está en el parque.,"['Reorder the Spanish words correctly.', ""Identify subject 'niño' and verb 'está'."", 'Read complete sentence aloud.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_translation,"chaussure (shoe), pantalon (pants), chemise (shirt)","shoe, pants, shirt","['Translate each clothing word.', 'Practice pronunciation.', 'Write one sentence using each.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,fill_in_the_blank,Ich trinke ______ (Wasser) jeden Morgen.,Ich trinke Wasser jeden Morgen.,"['Translate: I drink water every morning.', ""Insert correct word 'Wasser'."", 'Read sentence aloud twice.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,في العطلة، أسافر مع عائلتي إلى المدينة وأزور أصدقائي.,"During the holiday, I travel with my family to the city and visit my friends.","[""Recognize 'أسافر' = travel and 'أزور' = visit."", 'Translate key nouns.', 'Summarize the full meaning.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_list,"macchina, bicicletta, autobus, treno","car, bicycle, bus, train","['Translate each transport word.', 'Repeat pronunciation.', 'Write each in a sentence.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,dialogue_practice,— ¿Qué te gusta hacer? — Me gusta pintar y escuchar música.,— What do you like to do? — I like to paint and listen to music.,"[""Recognize '¿Qué te gusta hacer?' = What do you like to do?"", ""Identify hobbies 'pintar' and 'escuchar música'."", 'Practice full dialogue aloud.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Je lis un livre à la bibliothèque.,I read a book at the library.,"[""Translate 'Je lis' = I read."", ""Recognize 'bibliothèque' = library."", 'Combine into English sentence.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_match,"Apfel – Apple, Schule – School, Ball – Ball",Match German words to English.,"['Translate each term.', 'Say them aloud three times.', 'Use one word in a sentence.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,أنا ألعب ______ (كرة القدم).,أنا ألعب كرة القدم.,"[""Recognize 'ألعب' = I play."", ""Insert missing noun 'كرة القدم' = football."", 'Read sentence aloud twice.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,"Ogni domenica, la mia famiglia va al parco per fare un picnic.","Every Sunday, my family goes to the park for a picnic.","[""Recognize 'Ogni domenica' = Every Sunday."", ""Translate 'fare un picnic' = to have a picnic."", 'Summarize the sentence.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_quiz,"pan, leche, manzana, agua","bread, milk, apple, water","['Translate each Spanish food item.', 'Repeat pronunciation.', 'Group them as daily vocabulary.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,Marie va à la plage avec ses amis et joue au volley.,Marie goes to the beach with her friends and plays volleyball.,"[""Translate 'va à la plage' = goes to the beach."", ""Recognize 'joue au volley' = plays volleyball."", 'Summarize in English.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Ich sehe fern am Abend.,I watch TV in the evening.,"[""Translate 'sehe fern' = watch TV."", ""Recognize 'am Abend' = in the evening."", 'Form full sentence meaning.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_practice,"قلم (pen), دفتر (notebook), حقيبة (bag)","pen, notebook, bag","['Translate each word.', 'Repeat pronunciation three times.', 'Write words neatly in notebook.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,La sera guardo la televisione e preparo la cartella per la scuola.,"In the evening, I watch TV and prepare my bag for school.","[""Translate 'guardo' = I watch."", ""Recognize 'cartella' = school bag."", 'Summarize complete meaning.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_fill,— ¿Dónde estudias? — Estudio en la ______ (escuela).,— ¿Dónde estudias? — Estudio en la escuela.,"[""Recognize question '¿Dónde estudias?' = Where do you study?"", ""Insert correct word 'escuela'."", 'Practice conversation aloud.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,paragraph_translation,"Le week-end, nous faisons du vélo et visitons le musée.","On weekends, we ride bikes and visit the museum.","[""Translate 'faisons du vélo' = ride bikes."", ""Recognize 'visitons' = visit."", 'Write the full English sentence.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_practice,– Was lernst du heute? – Ich lerne Mathematik.,– What are you learning today? – I’m learning math.,"[""Recognize 'Was lernst du?' = What do you learn?"", ""Translate 'Mathematik' = math."", 'Practice dialogue aloud.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,أدرس في الصباح وألعب كرة السلة في المساء.,I study in the morning and play basketball in the evening.,"[""Identify 'أدرس' = I study and 'ألعب' = I play."", 'Recognize time expressions.', 'Summarize sentence.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Studio l’inglese e ascolto la musica ogni giorno.,I study English and listen to music every day.,"[""Translate 'Studio l’inglese' = I study English."", ""Recognize 'ascolto la musica' = listen to music."", 'Form full sentence meaning.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,vocabulary_practice,"comida, agua, pan, leche","food, water, bread, milk","['Translate each Spanish word.', 'Identify food-related terms.', 'Practice pronunciation three times.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Je vais à l’école en bus.,I go to school by bus.,"[""Recognize 'Je vais' = I go."", ""Translate 'à l’école' = to school."", 'Combine into a full sentence.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_story,Lisa spielt im Park mit ihrem Freund und isst ein Eis.,Lisa plays in the park with her friend and eats ice cream.,"[""Translate 'spielt' = plays, 'isst' = eats."", 'Recognize context: leisure activity.', 'Summarize full sentence meaning.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_completion,أذهب إلى ______ (المدرسة).,أذهب إلى المدرسة.,"[""Recognize 'أذهب' = I go."", ""Fill in 'المدرسة' = school."", 'Read full sentence aloud.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,Nel pomeriggio gioco con i miei amici e leggo un libro.,In the afternoon I play with my friends and read a book.,"[""Recognize 'gioco' = I play, 'leggo' = I read."", 'Translate each phrase.', 'Summarize in English.']"
11–12,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_paragraph,"En mi tiempo libre, escucho música y practico deportes.","In my free time, I listen to music and play sports.","[""Translate 'tiempo libre' = free time."", ""Identify activities 'escucho música' and 'practico deportes'."", 'Form full English translation.']"
11–12,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_fill,– Qu’est-ce que tu fais après l’école ? – Je ______ (fais du sport).,– Qu’est-ce que tu fais après l’école ? – Je fais du sport.,"[""Recognize question form 'Qu’est-ce que tu fais'."", ""Insert missing phrase 'fais du sport'."", 'Read dialogue aloud.']"
11–12,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_table,"Apfel – Apple, Wasser – Water, Brot – Bread, Schule – School",Learn and match basic daily words.,"['Translate each noun.', 'Group by category: food/school.', 'Say each aloud twice.']"
11–12,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,story_summary,أسافر في الصيف إلى بلد جديد وأتعلم كلمات جديدة.,I travel in summer to a new country and learn new words.,"[""Recognize 'أسافر' = travel."", ""Translate 'بلد جديد' = new country."", 'Summarize story meaning.']"
11–12,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,sentence_translation,Mi piace studiare e scrivere storie.,I like studying and writing stories.,"[""Translate 'Mi piace' = I like."", ""Recognize 'studiare' = study, 'scrivere' = write."", 'Combine meaning together.']"
8–10,Foreign Language,Spanish,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,listening_sentence,Audio: 'Los niños corren en el parque.',The children run in the park.,"[""Recognize 'corren' = run."", ""Identify 'parque' = park."", 'Summarize audio meaning.']"
8–10,Foreign Language,French,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_translation,"voiture (car), école (school), livre (book)","car, school, book","['Translate each French noun.', 'Repeat pronunciation.', 'Classify as daily words.']"
8–10,Foreign Language,German,"Expanding vocabulary for daily life, school, travel, and hobbies",medium,dialogue_practice,– Wo ist die Schule? – Die Schule ist dort.,– Where is the school? – The school is there.,"[""Recognize 'Wo ist' = Where is."", 'Translate dialogue to English.', 'Practice aloud.']"
8–10,Foreign Language,Arabic,"Expanding vocabulary for daily life, school, travel, and hobbies",hard,short_paragraph,أستيقظ في الصباح وأذهب إلى المدرسة مع أخي.,I wake up in the morning and go to school with my brother.,"[""Recognize verbs 'أستيقظ' (wake up), 'أذهب' (go)."", 'Translate time expression.', 'Summarize meaning.']"
8–10,Foreign Language,Italian,"Expanding vocabulary for daily life, school, travel, and hobbies",easy,word_list,"libro, matita, sedia, scuola","book, pencil, chair, school","['Translate each Italian word.', ""Classify under 'school items'."", 'Read them aloud twice.']"
